Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,month,year,day,is_quarter_end,target,Open-Close,Low-High,7_day_MA,RSI,MACD,MACD_signal,MACD_hist,Volume_change
2011-06-21,833.25,839.9,855.0,837.3,848.95,848.65,848.14,3980489,337599598965000.0,102793.0,1798284.0,0.4518,6,2011,21,1,0,-8.75,-17.700000000000045,882.2428571428572,22.434223980188143,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.42528960834688834
2011-06-22,848.65,853.35,858.15,834.15,846.7,845.8,842.78,4596259,387364107185000.0,96249.0,2343085.0,0.5098,6,2011,22,1,1,7.550000000000068,-24.0,870.842857142857,21.944267248170547,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.15469707365100116
2011-06-23,845.8,846.55,872.7,845.9,870.75,870.5,863.74,4734842,408967195510000.0,123526.0,2467225.0,0.5211,6,2011,23,1,1,-23.950000000000045,-26.800000000000068,865.0071428571428,35.16089013776902,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.030151259970336852
2011-06-24,870.5,874.15,879.7,855.6,868.5,871.4,866.87,7239303,627556249175000.0,150708.0,4291032.0,0.5927,6,2011,24,1,1,2.75,-24.100000000000023,860.8428571428573,35.58885386381994,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.5289428876401789
2011-06-27,871.4,866.7,881.8,861.85,872.0,871.55,874.41,3280025,286809606875000.0,88833.0,1744078.0,0.5317000000000001,6,2011,27,1,0,-4.849999999999909,-19.949999999999932,858.5571428571428,35.665070570304174,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.5469142540379923
2011-06-28,871.55,878.9,878.9,862.0,871.5,871.1,868.86,2336039,202968988450000.0,63762.0,1063116.0,0.4551,6,2011,28,1,1,7.7999999999999545,-16.899999999999977,858.8928571428571,35.52924514629325,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.2877984161706084
2011-06-29,871.1,875.7,888.0,872.1,887.0,885.25,879.81,2841435,249993159905000.03,78475.0,1660105.0,0.5842,6,2011,29,1,1,-9.549999999999955,-15.899999999999977,866.3214285714286,42.893850347703946,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.21634741543270475
2011-06-30,885.25,888.7,902.0,887.0,895.05,898.5,895.72,4970476,445215013325000.0,90446.0,2933798.0,0.5902000000000001,6,2011,30,1,0,-9.799999999999955,-15.0,873.4428571428572,48.79264381871619,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.7492837245969026
2011-07-01,898.5,907.0,907.0,856.7,859.9,861.95,870.02,6555284,570322553290000.0,128948.0,3650883.0,0.5569,7,2011,1,0,1,45.049999999999955,-50.299999999999955,875.75,37.33586122710443,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.318844311892865
2011-07-04,861.95,874.4,879.4,865.0,868.6,868.4,870.02,3771511,328127997950000.0,101705.0,2279704.0,0.6045,7,2011,4,0,0,6.0,-14.399999999999977,875.45,40.0127143874049,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.4246609300222538
2011-07-05,868.4,869.3,869.3,844.0,845.4,845.95,853.31,7727430,659390262825000.0,152680.0,4913321.0,0.6358,7,2011,5,0,1,23.34999999999991,-25.299999999999955,871.8142857142857,34.49013813583043,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,1.0488949919541533
2011-07-06,845.95,848.85,858.5,840.7,852.55,852.9,850.04,6143838,522253513725000.0,167251.0,3114346.0,0.5069,7,2011,6,0,1,-4.0499999999999545,-17.799999999999955,869.15,37.37195072424403,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.2049312643401493
2011-07-07,852.9,858.0,874.9,855.25,871.9,870.7,864.21,4603204,397812622565000.0,151607.0,2539009.0,0.5516,7,2011,7,0,0,-12.700000000000045,-19.649999999999977,869.092857142857,44.14857197433275,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.25076084362901496
